,0
27,"Assistant VP, Corporate Sustainability, Group Finance & Corporate Services
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Raffles Place, Singapore, SG, 048624 Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history
Full time
2 hours ago

Competitive"
28,"Senior / First VP, Technical Delivery Manager, Retail Data Platform, Group Technology
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Raffles Place, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans m
Full time
2 hours ago

Competitive"
29,"Senior VP, Product & Domain Support Lead (Channels), Production Services, Group Technology
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Alexandra Road, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans
Full time
2 hours ago

Competitive"
30,"First VP, Delivery Planning Lead, Change & Process Management, Group Technology
Save
United Overseas Bank Singapore
Posting Date: 31-Dec-2020 Location: Alexandra Road, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans
Full time
2 hours ago

Competitive"
31,"VP, Senior System Analyst, Credit Origination, Group Banking Technology
Save
United Overseas Bank Singapore
Posting Date: 04-Jan-2021 Location: Shenton Way, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans mor
Full time
2 hours ago

Competitive"
32,"TTS - Regional Cross Border Payments Voyager Product Manager - Vice President
Save
Citi Singapore
Treasury and Trade Solutions (TTS) provides award-winning integrated cash management and trade finance services to multinational corporations, financial institutions and public sector organizations across the world. The TTS Asia business was recently awarded Euromoney's Best Transaction Bank in Asia given our leading capabilities, solutions and depth of client relationships across 15 markets in Asia Pacific. Project Voyager is the Global Initiative to transform the Cross Border Payments busin
Full time
2 hours ago

Competitive"
33,"Commercial Cards Strategic Sales Manager
Save
Citi Singapore
The Product Sales Intmd Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the subfunction/ job family. Applies analytical thinking and knowledge of data analysis tools and methodologies. Requires attention to
Full time
2 hours ago

Competitive"
34,"Security Operations Center (SOC) Insider Threat Analyst
Save
Citi Singapore
This role is an integral part of Cyber Security Services as part of our Global Security Operations Center. The Security Operations Center Insider Threat analyst role will be part of the Global SOC. The SOC is responsible for monitoring, analyzing, and responding to cybersecurity and infrastructure threats on a 24x7 basis. We are focused on delivering the best for our clients, and we know that to do this we need a talented team with diverse experiences, backgrounds and skills. Key Resp
Full time
2 hours ago

Competitive"
35,"Regional Digital Acquisition Lead
Save
Citi Singapore
This role will hold the digital sales volumes goals for various product lines including cards, loans, and bank, etc. and will be key in leading Citi in developing and implementing competitive and relevant digital sales strategies for the future. The person will partner with product owners between Cards, and Retail Banking etc. to deliver the digital acquisition strategy, tactics, execution, and optimization of paid and owned campaigns across digital touch-points. Deep expertise in direct-respon
Full time
2 hours ago

Competitive"
36,"Private Banker
Save
Citi Singapore
The Private Banker is a strategic professional who closely follows latest trends in own field and adapts them for application within own job and the business. Strong commercial awareness is a necessity. Is an acknowledged authority both within and outside area of expertise. Typically a small number of people within the business that provide the same level of expertise. Excellent communication skills required in order to negotiate internally, often at a senior level, and externally. Provides adva
Full time
2 hours ago

Competitive"
